id,clustering_coefficient_std,clustering_coefficient_max,weight_ratio,inside_weights_25,outside_weight_ratio,inside_weights,inside_weights_75,clustering_coefficient_25,size,degree_max,pageranks_50,inside_edges,pageranks_mean,pageranks_75,clustering_coefficient_50,subgraph_clustering_coeff,clustering_coeff_mean,degree_50,degree_75,inside_weight_ratio,inside_weights_50,degree_std,clustering_coefficient_75,outside_edges,pageranks_std,degree_mean,density,pageranks_max,cohesion,degree_25,pageranks_25,unlinked,outside_weights,inside_weights_mean,inside_weights_std
202,4.57E-05,0.000181534,0.567099567,8,0.638121547,393,39.75,3.18E-06,14,0.000181534,2.09E-05,14,4.05E-05,2.52E-05,4.78E-06,0.670940171,2.27E-05,4.78E-06,1.51E-05,0.361878453,12.5,4.57E-05,1.51E-05,59,6.43E-05,2.27E-05,0.153846154,0.000266803,0.237288136,3.18E-06,1.43E-05,0.923076923,693,28.07142857,34.53251943
203,2.46E-05,7.64E-05,1.097560976,8,0.476744186,675,22,1.04E-05,10,7.64E-05,6.05E-05,18,5.67E-05,8.13E-05,3.18E-05,0.775510204,3.34E-05,3.18E-05,4.94E-05,0.523255814,17,2.46E-05,4.94E-05,37,3.32E-05,3.34E-05,0.4,0.000102727,0.486486486,1.04E-05,2.25E-05,0.8,615,37.5,55.68387957
204,4.87E-05,0.00016561,0.897703549,7,0.526952695,430,23.25,3.18E-06,13,0.00016561,2.04E-05,20,4.35E-05,6.70E-05,1.59E-05,0.648809524,3.70E-05,1.59E-05,4.46E-05,0.473047305,9.5,4.87E-05,4.46E-05,41,3.65E-05,3.70E-05,0.256410256,0.000114962,0.487804878,3.18E-06,1.52E-05,0.871794872,479,21.5,29.98416249
205,7.18E-05,0.000213383,0.442275516,7.25,0.693348801,793,94,6.37E-06,9,0.000213383,3.43E-05,14,6.23E-05,9.66E-05,3.18E-05,0.703174603,6.58E-05,3.18E-05,9.55E-05,0.306651199,16.5,7.18E-05,9.55E-05,108,5.84E-05,6.58E-05,0.388888889,0.000161244,0.12962963,6.37E-06,1.50E-05,0.805555556,1793,56.64285714,76.23891689
206,7.81E-05,0.000283449,0.54084507,11,0.648994516,384,51,7.96E-06,11,0.000283449,2.38E-05,11,5.10E-05,3.23E-05,1.27E-05,0.674074074,3.82E-05,1.27E-05,2.39E-05,0.351005484,40,7.81E-05,2.39E-05,64,8.55E-05,3.82E-05,0.2,0.000320437,0.171875,7.96E-06,1.97E-05,0.9,710,34.90909091,25.11954887
207,4.52E-05,0.00016561,0.657801418,9,0.603208556,371,40,1.04E-05,10,0.00016561,4.57E-05,13,5.56E-05,6.37E-05,2.71E-05,0.438095238,3.95E-05,2.71E-05,4.38E-05,0.396791444,15,4.52E-05,4.38E-05,45,4.67E-05,3.95E-05,0.288888889,0.000177497,0.288888889,1.04E-05,2.02E-05,0.855555556,564,28.53846154,30.59566431
208,9.86E-05,0.000289818,0.713675214,11.75,0.583541147,668,30.25,2.79E-05,6,0.000289818,3.33E-05,8,9.18E-05,0.000136248,5.57E-05,0.76,0.000100852,5.57E-05,0.000143317,0.416458853,16.5,9.86E-05,0.000143317,68,9.69E-05,0.000100852,0.533333333,0.000274702,0.117647059,2.79E-05,2.54E-05,0.733333333,936,83.5,174.2820989
209,3.09E-05,0.000105099,0.837552743,7,0.544202067,397,14,1.59E-05,13,0.000105099,3.31E-05,30,4.18E-05,4.53E-05,3.18E-05,0.730238095,3.77E-05,3.18E-05,3.82E-05,0.455797933,9,3.09E-05,3.82E-05,38,2.71E-05,3.77E-05,0.384615385,0.000101673,0.789473684,1.59E-05,1.94E-05,0.807692308,474,13.23333333,12.10422332
210,5.09E-05,0.000159241,0.526579739,10,0.655059133,525,17,2.55E-05,9,0.000159241,4.36E-05,17,6.03E-05,7.95E-05,7.64E-05,0.751785714,6.72E-05,7.64E-05,7.96E-05,0.344940867,10,5.09E-05,7.96E-05,57,4.73E-05,6.72E-05,0.472222222,0.000163833,0.298245614,2.55E-05,2.29E-05,0.763888889,997,30.88235294,65.40451716
211,4.09E-05,0.000140132,0.818851252,12,0.549797571,556,30,6.37E-06,13,0.000140132,2.19E-05,17,4.16E-05,4.05E-05,1.27E-05,0.629931973,3.38E-05,1.27E-05,3.50E-05,0.450202429,15,4.09E-05,3.50E-05,62,3.71E-05,3.38E-05,0.217948718,0.000128721,0.274193548,6.37E-06,1.68E-05,0.891025641,679,32.70588235,44.49159168
212,7.03E-05,0.000261155,0.550509731,16,0.644949193,594,34,9.55E-06,11,0.000261155,2.75E-05,17,4.92E-05,4.32E-05,1.91E-05,0.811111111,4.75E-05,1.91E-05,4.94E-05,0.355050807,21,7.03E-05,4.94E-05,84,5.83E-05,4.75E-05,0.309090909,0.00022619,0.202380952,9.55E-06,2.02E-05,0.845454545,1079,34.94117647,41.51749537
213,8.61E-05,0.000273894,1.318681319,44,0.431279621,720,139,6.37E-06,8,0.000273894,3.00E-05,7,6.75E-05,5.92E-05,1.59E-05,0,4.78E-05,1.59E-05,2.63E-05,0.568720379,88,8.61E-05,2.63E-05,59,8.96E-05,4.78E-05,0.25,0.00030036,0.118644068,6.37E-06,1.96E-05,0.875,546,102.8571429,75.5218579
214,6.78E-05,0.000226122,0.419254658,8,0.704595186,405,22,6.37E-06,11,0.000226122,2.17E-05,13,4.87E-05,4.73E-05,1.27E-05,0.43537415,4.43E-05,1.27E-05,3.34E-05,0.295404814,11,6.78E-05,3.34E-05,80,5.69E-05,4.43E-05,0.236363636,0.00021081,0.1625,6.37E-06,1.81E-05,0.881818182,966,31.15384615,43.57989331
215,4.93E-05,0.000140132,1.236889693,13.25,0.447049313,684,36.5,3.18E-06,8,0.000140132,3.71E-05,10,6.66E-05,7.68E-05,2.71E-05,0.493333333,4.38E-05,2.71E-05,5.41E-05,0.552950687,25,4.93E-05,5.41E-05,47,6.83E-05,4.38E-05,0.357142857,0.000195731,0.212765957,3.18E-06,1.84E-05,0.821428571,553,68.4,138.3323534
216,4.99E-05,0.000143317,0.532420749,16.75,0.652562294,739,60.25,6.37E-06,9,0.000143317,2.67E-05,12,5.90E-05,0.000100355,2.23E-05,0.695238095,4.95E-05,2.23E-05,8.60E-05,0.347437706,23.5,4.99E-05,8.60E-05,98,4.85E-05,4.95E-05,0.333333333,0.00015057,0.12244898,6.37E-06,1.80E-05,0.833333333,1388,61.58333333,76.09474175
217,4.09E-05,0.000159241,0.566071429,11,0.638540479,317,35,3.18E-06,13,0.000159241,1.92E-05,13,4.07E-05,2.65E-05,6.37E-06,0.671717172,1.94E-05,6.37E-06,9.55E-06,0.361459521,24,4.09E-05,9.55E-06,48,6.29E-05,1.94E-05,0.166666667,0.000256089,0.270833333,3.18E-06,1.58E-05,0.916666667,560,24.38461538,15.64774971
218,5.37E-05,0.000194274,0.741666667,14,0.574162679,712,29,3.82E-05,9,0.000194274,5.81E-05,17,5.82E-05,6.48E-05,6.69E-05,0.804761905,7.01E-05,6.69E-05,8.60E-05,0.425837321,18,5.37E-05,8.60E-05,95,4.04E-05,7.01E-05,0.472222222,0.000158958,0.178947368,3.82E-05,2.54E-05,0.763888889,960,41.88235294,80.90290648
219,2.31E-05,8.28E-05,0.65942029,9,0.602620087,364,33.25,9.55E-06,13,8.28E-05,3.09E-05,16,4.03E-05,4.24E-05,1.59E-05,0.514285714,2.33E-05,1.59E-05,2.87E-05,0.397379913,15,2.31E-05,2.87E-05,52,2.93E-05,2.33E-05,0.205128205,0.000108766,0.307692308,9.55E-06,1.73E-05,0.897435897,552,22.75,16.93922962
220,6.52E-05,0.000219752,2.612403101,10.5,0.276824034,674,37,1.27E-05,9,0.000219752,4.06E-05,15,5.81E-05,5.32E-05,2.87E-05,0.7,5.38E-05,2.87E-05,6.05E-05,0.723175966,25,6.52E-05,6.05E-05,27,5.68E-05,5.38E-05,0.416666667,0.000206306,0.555555556,1.27E-05,1.84E-05,0.791666667,258,44.93333333,57.89354215
221,5.05E-05,0.00017835,1.489795918,7,0.401639344,511,44,7.17E-06,10,0.00017835,3.30E-05,13,5.21E-05,4.20E-05,1.27E-05,0.851851852,3.28E-05,1.27E-05,2.87E-05,0.598360656,22,5.05E-05,2.87E-05,34,5.63E-05,3.28E-05,0.288888889,0.000211402,0.382352941,7.17E-06,2.13E-05,0.855555556,343,39.30769231,54.13428405
222,2.55E-05,9.24E-05,0.943231441,11,0.514606742,648,56,1.91E-05,10,9.24E-05,4.00E-05,19,5.15E-05,6.36E-05,2.07E-05,0.844642857,3.25E-05,2.07E-05,4.06E-05,0.485393258,18,2.55E-05,4.06E-05,59,3.39E-05,3.25E-05,0.422222222,0.000118636,0.322033898,1.91E-05,3.09E-05,0.788888889,687,34.10526316,29.10759484
223,4.05E-05,0.000136947,0.674718196,8.75,0.597115385,419,32,4.78E-06,11,0.000136947,1.91E-05,14,4.67E-05,6.37E-05,9.55E-06,0.612698413,2.90E-05,9.55E-06,3.03E-05,0.402884615,16,4.05E-05,3.03E-05,53,4.23E-05,2.90E-05,0.254545455,0.000155888,0.264150943,4.78E-06,1.63E-05,0.872727273,621,29.92857143,30.69309901
224,2.98E-05,8.60E-05,0.741304348,8,0.574282147,341,17,6.37E-06,13,8.60E-05,2.25E-05,21,3.95E-05,5.48E-05,1.59E-05,0.505714286,3.16E-05,1.59E-05,4.46E-05,0.425717853,10,2.98E-05,4.46E-05,39,2.73E-05,3.16E-05,0.269230769,9.51E-05,0.538461538,6.37E-06,1.73E-05,0.865384615,460,16.23809524,13.93148118
225,3.88E-05,0.000140132,0.752747253,7,0.570532915,274,13,6.37E-06,14,0.000140132,2.43E-05,22,3.63E-05,3.21E-05,1.11E-05,0.682738095,2.84E-05,1.11E-05,2.15E-05,0.429467085,9.5,3.88E-05,2.15E-05,35,3.33E-05,2.84E-05,0.241758242,0.000131313,0.628571429,6.37E-06,1.62E-05,0.879120879,364,12.45454545,8.032475407
226,4.27E-05,0.000159241,0.702819957,10,0.587261146,324,40,3.18E-06,12,0.000159241,1.91E-05,11,4.23E-05,3.25E-05,7.96E-06,0,2.26E-05,7.96E-06,1.27E-05,0.412738854,12,4.27E-05,1.27E-05,35,6.14E-05,2.26E-05,0.166666667,0.000241894,0.314285714,3.18E-06,1.49E-05,0.916666667,461,29.45454545,29.87051948
227,2.76E-05,9.87E-05,1.459627329,9.25,0.406565657,235,19.5,3.98E-06,10,9.87E-05,2.58E-05,10,5.05E-05,7.35E-05,7.96E-06,0.388888889,1.91E-05,7.96E-06,1.99E-05,0.593434343,16,2.76E-05,1.99E-05,21,4.48E-05,1.91E-05,0.222222222,0.000147757,0.476190476,3.98E-06,2.06E-05,0.888888889,161,23.5,23.85896058
228,3.15E-05,0.000105099,1.529680365,10,0.395306859,670,29,3.50E-05,9,0.000105099,4.66E-05,21,5.60E-05,6.46E-05,3.82E-05,0.668452381,4.88E-05,3.82E-05,5.73E-05,0.604693141,19,3.15E-05,5.73E-05,40,3.23E-05,4.88E-05,0.583333333,0.000114054,0.525,3.50E-05,3.61E-05,0.708333333,438,31.9047619,41.31286524
229,0.000104739,0.000283449,0.404432133,26.5,0.712031558,876,426.5,0.00013217,3,0.000283449,0.00020366,3,0.000164664,0.000232123,0.000226122,1,0.000182596,0.000226122,0.000254785,0.287968442,30,0.000104739,0.000254785,132,9.82E-05,0.000182596,1,0.000260586,0.022727273,0.00013217,0.000116704,0.5,2166,292,375.4845758
230,5.78E-05,0.000159241,1.084084084,20.5,0.479827089,361,42.5,9.55E-06,10,0.000159241,2.69E-05,11,4.87E-05,4.36E-05,1.43E-05,0.652380952,4.14E-05,1.43E-05,2.63E-05,0.520172911,33,5.78E-05,2.63E-05,25,4.89E-05,4.14E-05,0.244444444,0.000169582,0.44,9.55E-06,1.74E-05,0.877777778,333,32.81818182,17.58521167
