id,clustering_coefficient_std,clustering_coefficient_max,inside_weights_25,outside_weight_ratio,inside_weights,inside_weights_75,clustering_coefficient_25,size,degree_max,pageranks_50,inside_edges,pageranks_mean,pageranks_75,clustering_coefficient_50,subgraph_clustering_coeff,clustering_coeff_mean,degree_50,degree_75,inside_weight_ratio,inside_weights_50,degree_std,clustering_coefficient_75,outside_edges,pageranks_std,degree_mean,density,pageranks_max,cohesion,degree_25,pageranks_25,unlinked,outside_weights,inside_weights_mean,inside_weights_std
41,0.1130884,0.055229142,0.008658009,0.404620434,0.05582078,0.058263971,0.098765432,0.102420857,0.055229142,0.212776374,0.045270519,0.433794066,0.304253187,0.157142857,0.72115341,0.308369831,0.157142857,0.291139241,0.595379566,0.034632035,0.1130884,0.291139241,0.066392479,0.139155227,0.308369831,0.121844158,0.07718683,0.118095046,0.098765432,0.120090988,0.878155842,0.054274406,0.081396336,0.136795096
42,0.184969973,0.084606345,0.008658009,0.425776278,0.049803013,0.042806183,0.061728395,0.113594041,0.084606345,0.125957545,0.049319102,0.368910119,0.315055008,0.114285714,0.655647565,0.420894961,0.114285714,0.430379747,0.574223722,0.03030303,0.184969973,0.430379747,0.067567568,0.111414813,0.420894961,0.104156027,0.041123619,0.126643522,0.061728395,0.047701033,0.895843973,0.052613836,0.062898068,0.086131219
43,0.17066377,0.100470035,0.008658009,0.406848083,0.042719197,0.042806183,0.024691358,0.12849162,0.100470035,0.076030098,0.04048583,0.300140541,0.173961126,0.071428571,0.578586308,0.26330272,0.071428571,0.170886076,0.593151917,0.025974026,0.17066377,0.170886076,0.05150803,0.153668105,0.26330272,0.053452176,0.093202363,0.136780928,0.024691358,0.028482949,0.946547824,0.041913775,0.066607601,0.101912407
44,0.188119874,0.094594595,0.008658009,0.627141145,0.044882194,0.045184304,0.037037037,0.121042831,0.094594595,0.115912196,0.048582996,0.321947631,0.281902911,0.142857143,0.64968483,0.41217998,0.142857143,0.373417722,0.372858855,0.03030303,0.188119874,0.373417722,0.121229926,0.112921836,0.41217998,0.085578086,0.057725656,0.06782066,0.037037037,0.034398383,0.914421914,0.101057521,0.055759335,0.064120439
45,0.285862845,0.115746181,0.017316017,0.539296307,0.066319042,0.05588585,0.12345679,0.080074488,0.115746181,0.124043559,0.044534413,0.545983365,0.420687854,0.185714286,0.730065847,0.644433824,0.185714286,0.556962025,0.460703693,0.043290043,0.285862845,0.556962025,0.122013318,0.17782765,0.644433824,0.216068818,0.062490358,0.061452923,0.12345679,0.049378429,0.783931182,0.107425118,0.102636047,0.172234742
46,0.425937015,0.202702703,0.012987013,0.753397218,0.028906914,0.068965517,0.043209877,0.08566108,0.202702703,0.075670467,0.019874862,0.468772914,0.172300988,0.078571429,0.774381509,0.539861133,0.078571429,0.278481013,0.246602782,0.047619048,0.425937015,0.278481013,0.120446533,0.269017416,0.539861133,0.061449562,0.114083048,0.025849331,0.043209877,0.023484648,0.938550438,0.108686152,0.099249374,0.134244095
47,0.31034808,0.175675676,0.012987013,0.693296861,0.038068752,0.078478002,0.049382716,0.08566108,0.175675676,0.11895527,0.024291498,0.454372588,0.26093028,0.1,0.723253723,0.460045935,0.1,0.35443038,0.306703139,0.043290043,0.31034808,0.35443038,0.118096357,0.231150059,0.460045935,0.083554774,0.121741994,0.033098134,0.049382716,0.050507248,0.916445226,0.111083366,0.108733372,0.137168246
48,0.275616502,0.14453584,0.012987013,0.679182036,0.034291232,0.064209275,0.092592593,0.078212291,0.14453584,0.182156098,0.024291498,0.490826789,0.275674321,0.171428571,0.735232459,0.547822498,0.171428571,0.474683544,0.320817964,0.038961039,0.275616502,0.474683544,0.115158637,0.177761822,0.547822498,0.107122372,0.081722122,0.034039471,0.092592593,0.096983256,0.892877628,0.094565068,0.095877806,0.150073902
49,0.172332694,0.076380729,0.008658009,0.54371476,0.049965238,0.045778835,0.154320988,0.089385475,0.076380729,0.213828099,0.048398969,0.40524804,0.308228531,0.25,0.703697896,0.467184961,0.25,0.465189873,0.45628524,0.038961039,0.172332694,0.465189873,0.082452017,0.108760567,0.467184961,0.184958296,0.040560234,0.101108171,0.154320988,0.074792526,0.815041704,0.082291836,0.064764781,0.076377197
50,0.24832067,0.107520564,0.008658009,0.669792468,0.03162611,0.088585018,0.024691358,0.076350093,0.107520564,0.126349252,0.018954729,0.489376025,0.263312941,0.071428571,0.653151105,0.435168136,0.071428571,0.373417722,0.330207532,0.054112554,0.24832067,0.373417722,0.08813161,0.203236426,0.435168136,0.080712063,0.085203087,0.034862695,0.024691358,0.037602066,0.919287937,0.084039804,0.116863905,0.151465929
