C0000359,C0014792,9
C0000359,C0018338,12
C0000359,C0021641,32
C0000359,C0022173,17
C0000359,C0022646,7
C0000359,C0023884,45
C0000359,C0024109,10
C0000359,C0024264,11
C0000359,C0024432,6
C0000359,C0026845,9
C0000359,C0027061,31
C0000359,C0028631,8
C0000359,C0029045,6
C0000359,C0031638,7
C0000359,C0031640,6
C0000359,C0032176,6
C0000359,C0033640,11
C0000359,C0034289,6
C0000359,C0034785,6
C0000359,C0036025,8
C0000359,C0037868,6
C0000359,C0039597,9
C0000359,C0039771,13
C0000359,C0040132,7
C0000359,C0596577,6
C0000360,C0001455,6
C0000360,C0001480,6
C0000360,C0001492,6
C0000360,C0006104,10
C0000360,C0006675,11
C0000360,C0006732,23
C0000360,C0006772,26
C0000360,C0007776,6
C0000360,C0018338,16
C0000360,C0018353,7
C0000360,C0018358,9
C0000360,C0022173,8
C0000360,C0023884,10
C0000360,C0024109,6
C0000360,C0024264,8
C0000360,C0027061,8
C0000360,C0031760,45
C0000360,C0034800,6
C0000360,C0035323,16
C0000360,C0035499,14
C0000360,C0035798,31
C0000368,C0005048,25
C0000368,C0031179,11
C0000370,C0005048,12
C0000376,C0006104,10
C0000376,C0006106,12
C0000376,C0007412,9
C0000376,C0010097,15
C0000376,C0013030,31
C0000376,C0017951,6
C0000376,C0018546,8
C0000376,C0019903,20
C0000376,C0020361,14
C0000376,C0025691,6
C0000376,C0028351,7
C0000376,C0031452,78
C0000378,C0036720,18
C0000379,C0002667,18
C0000392,C0016904,7
C0000399,C0041984,18
C0000404,C0014314,8
C0000404,C0025954,7
C0000404,C0029250,6
C0000407,C3266823,8
C0000413,C0001613,9
C0000413,C0001625,13
C0000413,C0001627,7
C0000413,C0002844,8
C0000413,C0005391,16
C0000413,C0008377,11
C0000413,C0008391,24
C0000413,C0010092,6
C0000413,C0014533,10
C0000413,C0014912,14
C0000413,C0017757,6
C0000413,C0018207,7
C0000413,C0022202,6
C0000413,C0023602,19
C0000413,C0023884,11
C0000413,C0026029,9
C0000413,C0026030,6
C0000413,C0029939,23
C0000413,C0030016,21
C0000413,C0032043,13
C0000413,C0033308,9
C0000413,C0033310,26
C0000413,C0033572,9
C0000413,C0038148,12
C0000413,C0038312,6
C0000413,C0039597,34
C0000413,C0039601,10
C0000413,C0039602,15
C0000424,C0003015,17
C0000424,C0005823,7
C0000424,C0006938,8
C0000424,C0012512,6
C0000424,C0033382,8
C0000424,C0038734,7
C0000435,C0001390,10
C0000473,C0030286,11
C0000473,C0030291,46
C0000473,C0030305,10
C0000473,C0267963,14
C0000473,C3495420,156
C0000477,C0002585,21
C0000477,C0006675,6
C0000481,C0013030,9
C0000481,C0016850,72
C0000481,C0064971,6
C0000498,C0002588,15
C0000500,C0020364,23
C0000500,C0033811,11
C0000506,C0003280,15
C0000506,C0031444,54
C0000506,C0035805,13
C0000506,C0043031,6
C0000507,C0023884,6
C0000507,C0030065,16
C0000511,C0007090,8
C0000511,C0012854,9
C0000511,C0012899,17
C0000511,C0026879,11
C0000511,C0026882,11
C0000511,C0028194,75
C0000511,C0043346,6
C0000511,C0598312,6
C0000543,C0035298,8
C0000543,C0036751,11
C0000544,C0006104,13
C0000544,C0006121,9
C0000544,C0012338,75
C0000544,C0020348,12
C0000544,C0020663,7
C0000544,C0027882,7
C0000544,C0030135,6
C0000544,C0034671,8
C0000544,C0036751,37
C0000544,C0037925,8
C0000546,C0003701,7
C0000546,C0015690,29
C0000546,C0021246,7
C0000551,C0002856,115
C0000551,C0014912,11
C0000551,C0019572,6
C0000551,C0023607,9
C0000551,C0023610,7
C0000551,C0027866,16
C0000551,C0031958,24
C0000551,C0032005,7
C0000551,C0033572,16
C0000551,C0034804,8
C0000551,C0036887,8
C0000551,C0038148,24
C0000551,C0039597,9
C0000551,C0039601,27
C0000551,C0733758,6
C0000578,C0003289,6
C0000578,C0004935,6
C0000578,C0006104,18
C0000578,C0006106,11
C0000578,C0006982,8
C0000578,C0011581,11
C0000578,C0013023,7
C0000578,C0020268,8
C0000578,C0020361,12
C0000578,C0020663,8
C0000578,C0023570,14
C0000578,C0027066,14
C0000578,C0027882,6
C0000578,C0030135,7
C0000578,C0033371,11
C0000578,C0034424,6
C0000578,C0034441,6
C0000578,C0034838,6
C0000578,C0036751,52
C0000578,C0041249,14
C0000589,C0010637,6
C0000589,C0025219,7
C0000589,C0034540,9
C0000589,C0041248,37
C0000608,C0003641,7
C0000608,C0007766,9
C0000608,C0010567,9
C0000608,C0016017,7
C0000608,C0038525,14
C0000608,C0040613,9
C0000610,C0028027,37
C0000617,C0003483,12
C0000617,C0005821,7
C0000617,C0020538,13
C0000617,C0022646,8
C0000617,C0032176,9
C0000617,C0032961,7
C0000617,C0033554,31
C0000617,C0033559,31
C0000617,C0033561,18
C0000617,C0033567,36
C0000617,C0040059,63
C0000617,C0040061,68
C0000618,C0003392,7
C0000618,C0004482,22
C0000618,C0010346,7
